,HighWeight,LowWeight,RelativeWeight
FEMININE VOICE,,1.0,
FASHION HACK,9.0,,
PEACH-COLORED SWEATSHIRT,7.0,,
PENDANT NECKLACE,8.0,,
PEACE SIGN,8.0,6.0,1.3333333333333333
CELEBRATORY HAND GESTURE,8.0,,
LARGE MIRROR,13.0,,
EYE AND HEAD MOVEMENTS,131.0,30.0,4.366666666666666
STROLLER,8.0,,
WAKING UP,8.0,,
PINXIES STAR WISH TOWER,9.0,,
STARBUCKS,15.0,6.0,2.5
GRAND LAKE KITCHEN,8.0,,
AFRO NATION WEEKEND,,8.0,
MIRROR SELFIE,7.0,7.0,1.0
OVERALL MOVEMENT,,7.0,
MEASURING CUP,7.0,,
COZY LIVING SPACE,8.0,,
MIRROR,13.0,18.0,0.7222222222222222
BEIS CARRY-ON LUGGAGE,9.0,7.0,1.2857142857142858
DISCOMFORT,22.0,,
RETAIL PARTNERSHIP,,6.0,
FINAL LOOK,,8.0,
HAIRCARE TUTORIAL,,7.0,
NARRATIVE STYLE,1.0,,
LIVING ROOM SETTING,8.0,,
DECORATED BACKGROUND,7.0,,
MUSICAL EXCERPT,,6.0,
LATTE,,1.0,
SOCIAL MEDIA PLATFORM,7.0,,
COZY ROOM,16.0,,
FEMALE INDIVIDUAL LEFT,,7.0,
BLUE SWEATSHIRT,7.0,,
ERAS TOUR,7.0,,
VALENTINE'S DAY GIFT BASKET,8.0,,
DYNAMIC FACIAL EXPRESSIONS,16.0,,
CASUAL AT-HOME ENVIRONMENT,7.0,,
TIKTOK HANDLE,40.0,37.0,1.0810810810810811
GLOSSIER CANVAS TOTE,8.0,,
EXPRESSIVE EYES,7.0,,
EXERCISE EQUIPMENT,8.0,,
LIGHT-COLORED SWEATER,7.0,,
BLENDING TECHNIQUE,,7.0,
HAND MOVEMENTS,24.0,11.0,2.1818181818181817
LIGHT PINK HOODIE,7.0,,
CARDBOARD BOX,7.0,,
OUTDOOR SETTING,56.0,7.0,8.0
ENGAGEMENT,,6.0,
GREEN BOX,16.0,,
ENGAGEMENT STRATEGIES,17.0,,
BLACK PEOPLE,8.0,,
PERSONAL TIME,8.0,,
SMILING/BRIGHT EXPRESSION,8.0,,
HALLWAY OR ENTRANCE AREA,,6.0,
SPONSORED POST,,8.0,
AWARDS AND FESTIVAL LOGOS,1.0,,
PHOTO LAB,8.0,,
HARISSA,7.0,,
LARGE WHITE MUG,6.0,,
SHOPPING EMOJIS,1.0,,
TIKTOK CONTENT MANAGEMENT,,7.0,
VIDEO THEME,9.0,,
WELL PEOPLE MAKEUP,7.0,,
CHOPSTICK GRIP,7.0,,
FACIAL EXPRESSION,40.0,13.0,3.076923076923077
HEAD MOVEMENT,14.0,29.0,0.4827586206896552
MORNING COFFEE WALK,,7.0,
HAIR TOOL,,7.0,
THOUGHTFUL/CURIOUS EXPRESSION,,6.0,
FACIAL EXPRESSIONS,339.0,105.0,3.2285714285714286
TOOTHBRUSH,8.0,,
NEUTRAL/CONFIDENT EXPRESSION,,5.0,
OUTDOOR URBAN SETTING,8.0,6.0,1.3333333333333333
KOSAS PRODUCT,9.0,,
AMAZON COAT RACK,,7.0,
MOTIVATIONAL MESSAGE,,1.0,
COOKING ACTIVITY,8.0,,
SIGNS OF DISCOMFORT,16.0,,
FAMILY,,7.0,
FEMALE INFLUENCERS,8.0,,
OUTFITS AND ACCESSORIES,8.0,,
SPF 50+,7.0,,
NOT A PAID SPONSORSHIP,9.0,,
VISUAL EMPHASIS,7.0,,
BRUNCH EXPERIENCE,9.0,,
JACK SKELLINGTON SNOW GLOBE,8.0,,
GOLDEN RETRIEVER,,7.0,
PRODUCT,50.0,7.0,7.142857142857143
SHOELACE,8.0,,
TIKTOK BRANDING,7.0,1.0,7.0
SPEECH VOLUME AND PACE,7.0,,
REGGAETON AUDIO,,1.0,
TOFU PACKAGE,8.0,,
NEUTRAL TONES,41.0,4.0,10.25
MAGAZINE OR BOOKLET,6.0,,
HARD-BOILED EGG GADGET,1.0,7.0,0.14285714285714285
DIRECT EYE CONTACT,9.0,,
FINGER SNAPPING GESTURE,,5.0,
FASHION TIPS,8.0,,
CHEERFUL FACIAL EXPRESSIONS,8.0,,
VIBRANT PINK TOP,7.0,,
BOWL OF PHO,8.0,,
BATHROOM SETTING,24.0,18.0,1.3333333333333333
GRWM THEME,,7.0,
CLEMENTINE BISOU,8.0,,
PRODUCT INTERACTION,28.0,22.0,1.2727272727272727
EYES,8.0,,
CARPETED FLOOR,5.0,,
INFLUENCER VIDEO,,7.0,
MONTCLAIR,7.0,,
MENTAL HEALTH DISCUSSION,9.0,,
MAKEUP LOOK,7.0,,
BRAND AMBASSADOR,8.0,,
HAIRSTYLING,7.0,,
CASUAL SETTING,91.0,,
POSITIVE DEMEANOR,36.0,,
SLIGHT SMILE,,6.0,
OUTFIT SHOWCASE,9.0,,
INTERACTION AND HANDLING,8.0,7.0,1.1428571428571428
MORNING VLOG,10.0,,
HAIR-PLAY GESTURE,,1.0,
USER ENGAGEMENT,,6.0,
SIGNS OF ENTHUSIASM,7.0,,
BAKERY,1.0,,
AMERICAN ACCENT,37.0,,
TIKTOK LOGO,33.0,12.0,2.75
BLOW-DRYING BRUSH,8.0,,
RETAIL STORE AISLE,,7.0,
WALKING MOTIONS,8.0,,
POSITIVE EMOTIONAL STATE,11.0,8.0,1.375
VOCAL TONE AND INFLECTION,8.0,,
PERSONAL ENVIRONMENT,8.0,,
SPONSORSHIP INDICATION,7.0,7.0,1.0
HEAD TILT AND TURN,,6.0,
SOCIAL MEDIA TAG,1.0,,
WARNER'S BRAND,8.0,,
COMFORT,8.0,,
FRYING PAN,7.0,,
ENJOYMENT EXPRESSION,9.0,,
MULTIPLE RINGS,6.0,,
CLOSET SETTING,8.0,6.0,1.3333333333333333
KIMCHI RICE BOWL,7.0,,
OVERLAY TEXT,8.0,6.0,1.3333333333333333
VOCAL EXPRESSIONS,8.0,,
MENTAL HEALTH BREAK,9.0,,
DEMONSTRATION,8.0,7.0,1.1428571428571428
HOME INTERIOR,,6.0,
PROMOTIONAL VIDEO,,7.0,
LARGE HOOP EARRINGS,6.0,,
VISUAL AND VERBAL CUES,,7.0,
AUDIO OF YOUNG WOMAN,,1.0,
CALM SETTING,8.0,,
SNAPPING GESTURE,,5.0,
AMIKA EVENT,,6.0,
COSMETIC BRAND,8.0,,
NEUTRAL/PLEASANT EXPRESSION,7.0,,
WHITE CAST,7.0,,
HIGHLIGHTING AND CONTOURING,,7.0,
CAKE WITH ELSA DESIGN,9.0,,
CASUAL ENVIRONMENT,,6.0,
CAR INTERIOR,28.0,13.0,2.1538461538461537
CLASSIC STAPLE PIECES,,7.0,
PRODUCT SHOWCASE,,8.0,
RELATIONSHIP DISCUSSION,,7.0,
CAMERA ENGAGEMENT,6.0,,
VIDEO FRAME,,1.0,
TEXT OVERLAY,346.0,165.0,2.096969696969697
EMOJIS,6.0,5.0,1.2
CHOPSTICK GESTURE,7.0,,
NEUTRAL WALL COLORS,,5.0,
BEAUTY ROUTINE,,7.0,
THOUGHTFUL EXPRESSION,15.0,,
EYE CONTACT,42.0,6.0,7.0
INTERACTION WITH THE PRODUCT,,7.0,
ON-SCREEN TEXT,22.0,12.0,1.8333333333333333
FITNESS THEME,8.0,,
ARTS AND ENTERTAINMENT,8.0,,
CREATIVE DISPLAY,8.0,,
INFLUENCER INTERACTION,,7.0,
HAIR STYLING GESTURE,,6.0,
FEMALE INFLUENCER,907.0,365.0,2.484931506849315
WHITE SHOES,6.0,,
BODY POSTURE,40.0,6.0,6.666666666666667
OSEA BRAND,8.0,,
TUTORIAL/DEMONSTRATION,8.0,,
GIORGIO ARMANI MY WAY PERFUME,,6.0,
TIKTOK USERNAME AND LOGO,,7.0,
CRANIAL WAVE FACIAL,8.0,,
HEADBAND,6.0,,
LAURA,7.0,,
WIRELESS EARBUDS,7.0,,
CULINARY EXPLORATION,8.0,,
INTRODUCTION AND INTERACTION,8.0,,
SUNSCREEN PRODUCT,8.0,,
PRODUCT BRAND,,7.0,
PRODUCT PACKAGING,8.0,11.0,0.7272727272727273
BODY POSITION,,6.0,
BOWL OF NOODLES,8.0,,
PRESENCE OF ENTHUSIASM,7.0,,
RELAXED POSTURE,23.0,,
DJ SETUP,8.0,,
GOODIE BAG,,1.0,
ROAD TRIP,8.0,,
VALENTINE'S DAY THEME,15.0,,
FEMALE VOCAL MELODY,1.0,,
CASUAL INDOOR SETTING,,6.0,
ULTRA VIOLETTE QUEEN SCREEN,,1.0,
SILENCES AND PAUSES,86.0,23.0,3.739130434782609
CAR SETTING,16.0,,
HAND AND FINGER GESTURES,111.0,39.0,2.8461538461538463
PHONE/CAMERA,,5.0,
PARADE,8.0,,
PHONE CALL AUDIO,,7.0,
MAKEUP ROUTINE,8.0,7.0,1.1428571428571428
RATTLING SOUND,6.0,,
SEATED POSTURE,14.0,6.0,2.3333333333333335
FAKE EYELASHES,8.0,,
SELFIE POSITION,8.0,,
TILED BACKGROUND,1.0,,
DRINK WITH STRAW,7.0,,
COMPACT STORAGE SOLUTIONS,8.0,,
GOLD NECKLACE,7.0,4.0,1.75
CUSTOM NAIL POLISH,,6.0,
CONTENT EXPRESSION,,6.0,
BEDROOM SETTING,,6.0,
HEALTH ADVICE,9.0,,
LYRICS,25.0,7.0,3.5714285714285716
KARAOKE BAR,8.0,,
DILL,6.0,,
THE KNOT DR. DETANGLING HOT AIR BRUSH,,7.0,
UNBOXING ACTIVITY,8.0,6.0,1.3333333333333333
MARKETING PROFESSIONAL,,1.0,
NON-VERBAL CUES,7.0,,
HEAD AND EYE MOVEMENTS,38.0,20.0,1.9
TIKTOK WATERMARK,103.0,53.0,1.9433962264150944
VOCAL TONE,8.0,,
NEUTRAL FACIAL EXPRESSION,16.0,,
CAT,8.0,6.0,1.3333333333333333
HAND AND FINGER MOVEMENTS,26.0,23.0,1.1304347826086956
MEATBALL SCOOPER,7.0,,
OSEA STORE,8.0,,
THRIFT SHOPPING EXPERIENCE,9.0,,
ROMANTIC MOMENT,9.0,,
VITALITY HARVEST PRODUCT,8.0,,
DIRECT GAZE,8.0,,
BARGAIN SERIES,8.0,,
WHITE LONG-SLEEVE TOP,8.0,,
BABY,17.0,,
OUTDOOR BACKGROUND,7.0,,
HASHTAG #WARNERSPARTNER,1.0,,
LARGE ICED BEVERAGE,,6.0,
EMOTIONS DISPLAYED,,1.0,
TIKTOK LOGO AND USERNAME,13.0,,
CLOTHING RACKS,6.0,1.0,6.0
FAST SPEECH RATE,7.0,,
SEPHORA,7.0,,
SITTING POSTURE,1.0,,
HIP-HOP SONG,,6.0,
FACIAL EXPRESSIONS AND MOVEMENTS,8.0,,
ALO YOGA,7.0,,
BAKING PAN,7.0,,
TEACHING EXPERIENCE,9.0,,
CHILDREN'S TOYS,7.0,7.0,1.0
DEMEANOR,9.0,,
DECORATIVE ELEMENTS,16.0,5.0,3.2
ROO,8.0,,
TIKTOK CLIP,18.0,7.0,2.5714285714285716
PINK VELVET CHAIR,7.0,,
TREADMILL EXERCISE,8.0,,
