,HighWeight,LowWeight,RelativeWeight
MUSICAL INTONATION,8.0,,
MICROPHONE,8.0,8.0,1.0
HIGH PITCHES,52.0,,
BRAND MENTION,6.0,,
ON-SCREEN TEXT,22.0,12.0,1.8333333333333333
BRANDED PRODUCTS,7.0,1.0,7.0
PAUSES AND SILENCES,1.0,6.0,0.16666666666666666
HOTEL SNOB,,7.0,
DISCOUNT CODE,7.0,,
INTERACTION WITH THE PRODUCT,,7.0,
VERBAL CUES,7.0,,
HAT/CAP,6.0,,
HAND GESTURE,94.0,48.0,1.9583333333333333
SPOKEN-WORD QUALITY,7.0,,
RUNNING ATTIRE,8.0,,
PENDANT NECKLACE,8.0,,
HUMOROUS TIKTOK SKIT,9.0,,
FEMALE INFLUENCER,907.0,365.0,2.484931506849315
SILENCES IN AUDIO,,6.0,
RUNNING POSTURE,8.0,,
SYNTH MELODY,7.0,,
CANON MIRRORLESS CAMERA,8.0,,
EYE AND HEAD MOVEMENTS,131.0,30.0,4.366666666666666
BODY POSTURE,40.0,6.0,6.666666666666667
HUMOROUS TAKE,8.0,,
COFFEE SHOP SETTING,,6.0,
HIP HOP MUSIC,7.0,,
MOUNTAINOUS LANDSCAPE,,5.0,
PRODUCT INTRODUCTION,22.0,20.0,1.1
SHOPPING LIST,7.0,,
NARRATIVE THEME,,7.0,
TOWEL SWAN,8.0,,
WOMAN IN CONVERSATION,,1.0,
PRODUCT FEATURE MOMENTS,35.0,12.0,2.9166666666666665
GRAY SHIRT,5.0,,
BOOKS OR NOTEBOOKS,7.0,,
THE AXE GAME,7.0,,
FAST-FOOD MEAL,8.0,,
T-SHIRT GRAPHIC,1.0,,
ENGLISH LANGUAGE,8.0,,
BOOTLICKERS,7.0,,
TREADMILL RUNNING TECHNIQUES,8.0,,
SLOW SPEECH,7.0,,
MALE INFLUENCER,322.0,56.0,5.75
DISCOMFORT,22.0,,
OMINOUS CHIME,1.0,,
GYM OR HOME WORKOUT AREA,7.0,,
CHAIN NECKLACE,6.0,,
