type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
mbdata,20140123170000,POK,Follow us @POK-Kronos,,,
mbdata,20140123170000,maha_Homeland,Don't miss a moment!  Follow our live coverage of the POK Rally in the Park!,,,
mbdata,20140123170000,Viktor-E,Come join us in the Park! Music tonight at Abila City Park!,,,
mbdata,20140123170000,KronosStar,POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech.˜ #KronosStar,,,
mbdata,20140123170000,AbilaPost,POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,
mbdata,20140123170000,ourcountryourrights,POK rally in the park tonight! #POKrally,,,
mbdata,20140123170000,ReggieWassali,great day for a rally! #RememberJuliana #RememberElian #POK,,,
mbdata,20140123170000,MindOfKronos,"Ugh, these POKers are anooying! #POK #gowaway",,,
mbdata,20140123170000,FriendsOfKronos,massive rally of POK terrorists - cops are gathered waiting for arrests,,,
ccdata,20140123170000,,KEEP THE PEACE-CROWD CONTROL/ABILA CITY PARK,,,Egeou St / Parla St
mbdata,20140123170000,rockinHW,Artist ? musician? need more followers ? click here  followme.kronos/artists #abila #artists,,,
mbdata,20140123170000,KronosQuoth,Success is walking from failure to failure with no loss of enthusiasm.  #POKRally #HI,,,
mbdata,20140123170000,KronosQuoth,A person who never made a mistake never tried anything new.  #KronosStar #POKRally,,,
mbdata,20140123170024,KronosQuoth,The only person you are destined to become is the person you decide to be.  #KronosStar #POKRally,,,
mbdata,20140123170024,KronosQuoth,Knowledge is being aware of what you can do. Wisdom is knowing when not to do it.  #POKRally #HI,,,
mbdata,20140123170055,Clevvah4Evah,I want a job 80% mental 30% fiscal #POK #Rally #Grammar,,,
mbdata,20140123170055,KronosQuoth,The meaning of life is to find your gift. The purpose of life is to give it away.  #POKRally #HI,,,
mbdata,20140123170100,rrWine,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,
mbdata,20140123170119,KronosQuoth,If you're going through hell keep going.  #POKRally #HI,,,
mbdata,20140123170119,KronosQuoth,You miss 100% of the shots you dont take.  #KronosStar #POKRally,,,
mbdata,20140123170119,KronosQuoth,You may only succeed if you desire succeeding; you may only fail if you do not mind failing.  #POKRally #HI,,,
mbdata,20140123170119,KronosQuoth,I didnt fail the test. I just found 100 ways to do it wrong.  #KronosStar #POKRally,,,
mbdata,20140123170150,KronosQuoth,"To accomplish great things, we must not only act, but also dream, not only plan, but also believe. #POKRally #HI",,,
mbdata,20140123170150,KronosQuoth,"Thinking should become your capital asset, no matter whatever ups and downs you come across in your life.  #POKRally #HI",,,
mbdata,20140123170150,KronosQuoth,Don't be afraid to give up the good to go for the great.  #POKRally #HI,,,
mbdata,20140123170200,pinky,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,
mbdata,20140123170200,BlueVelvet,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,
mbdata,20140123170200,dragonRider1,"RT @MindOfKronos Ugh, these POKers are anooying! #POK #gowaway",,,
ccdata,20140123170210,,TRAFFIC STOP,,,N. Els St / N. Polvo St
mbdata,20140123170221,Clevvah4Evah,Youre the penultimate girlfriend! #POK #Rally #Grammar,,,
mbdata,20140123170221,KronosQuoth,I am not a product of my circumstances. I am a product of my decisions.  #KronosStar #POKRally,,,
mbdata,20140123170221,KronosQuoth,"Success is...knowing your purpose in life, growing to reach your maximum potential, and sowing seeds that benefit others.  #POKRally #HI",,,
mbdata,20140123170221,KronosQuoth,The only person you are destined to become is the person you decide to be.  #KronosStar #POKRally,,,
mbdata,20140123170231,POK,POK leader Sylvia Market taking the stage for a warm welcome to the crowd,,,
mbdata,20140123170231,AbilaPost,Concerns of violence surround POK rally today heavy police presence #AbilaPost,,,
mbdata,20140123170246,KronosQuoth,It is never too late to be what you might have been.  #KronosStar #POKRally,,,
mbdata,20140123170246,KronosQuoth,You may have to fight a battle more than once to win it.  #POKRally #HI,,,
mbdata,20140123170246,KronosQuoth,"In order to succeed, your desire for success should be greater than your fear of failure.  #KronosStar #POKRally",,,
mbdata,20140123170246,KronosQuoth,"If you want your children to turn out well, spend twice as much time with them, and half as much money.  #KronosStar #POKRally",,,
mbdata,20140123170300,blueSunshine,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,
mbdata,20140123170300,dtennent,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,
mbdata,20140123170300,BlueVelvet,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,
mbdata,20140123170316,KronosQuoth,Its not the years in your life that count. Its the life in your years.  #KronosStar #POKRally,,,
mbdata,20140123170316,KronosQuoth,"If you don't value your time, neither will others. Stop giving away your time and talents- start charging for it.  #POKRally #HI",,,
mbdata,20140123170331,klingon4real,RT @AbilaPost Concerns of violence surround POK rally today heavy police presence #AbilaPost,,,
mbdata,20140123170338,KronosQuoth,"If you don't value your time, neither will others. Stop giving away your time and talents- start charging for it.  #POKRally #HI",,,
mbdata,20140123170344,POK,Sylvia Marek is introducing the guests,,,
mbdata,20140123170344,CentralBulletin,POK rally today in Abila City Park concerns of violence and heavy police presence #Abila #CentralBulletin,,,
mbdata,20140123170344,choconibbs,Marek - Terrorist introducing more terrorists #POKRally,,,
mbdata,20140123170344,FriendsOfKronos,how long until POK terrorists start destroying the park,,,
mbdata,20140123170400,sarajane,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,,,
mbdata,20140123170400,wiseWords,RT @ourcountryourrights POK rally in the park tonight! #POKrally,,,
mbdata,20140123170403,KronosQuoth,The secret of the universe depends on intrinsic timelessness #POKRally #HI,,,
mbdata,20140123170433,KronosQuoth,"The function of leadership is to produce more leaders, not more followers.  #POKRally #HI",,,
mbdata,20140123170444,phantomagate,RT @CentralBulletin POK rally today in Abila City Park concerns of violence and heavy police presence #Abila #CentralBulletin,,,
