type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
ccdata,20140123183100,,TRAFFIC STOP,,,N. Carnero St / N. Pilai St
mbdata,20140123183100,KronosQuoth,There are no traffic jams along the extra mile.  #KronosStar #POKRally,,,
mbdata,20140123183100,KronosQuoth,"You take your life in your own hands, and what happens? A terrible thing, no one to blame.  #KronosStar #POKRally",,,
mbdata,20140123183128,KronosQuoth,Intuition influences your own observations #POKRally #HI,,,
mbdata,20140123183128,KronosQuoth,Believe you can and youre halfway there.  #KronosStar #POKRally,,,
mbdata,20140123183128,KronosQuoth,Life is not about finding yourself. Life is about creating yourself.  #POKRally #HI,,,
mbdata,20140123183128,KronosQuoth,"Either you run the day, or the day runs you.  #KronosStar #POKRally",,,
mbdata,20140123183152,KronosQuoth,"People often say that motivation doesnt last. Well, neither does bathing.  Thats why we recommend it daily.  #KronosStar #POKRally",,,
mbdata,20140123183152,Clevvah4Evah,My boss just made a 360 on his last decision! #POK #Rally #Grammar,,,
mbdata,20140123183213,cheapgoods998,I got cheap medication online without a prescription meds.kronos/cheapmeds #kronos #abila,,,
mbdata,20140123183213,KronosQuoth,If you are not willing to risk the usual you will have to settle for the ordinary.  #POKRally #HI,,,
mbdata,20140123183213,KronosQuoth,"Good things come to people who wait, but better things come to those who go out and get them.  #POKRally #HI",,,
mbdata,20140123183213,maskedWoman101,you r famous now haha  badprofiles.kronos/tacky   #abila #pictures,,,
mbdata,20140123183221,maha_Homeland,Dr. Newman advises activists to keep the pressure on and never let up,,,
ccdata,20140123183221,,TRAFFIC STOP,,,N. Pilau St / N. Aveny St
ccdata,20140123183223,,PARK CHECK,,,3801 N. Spetson St
ccdata,20140123183224,,SUSPICIOUS SUBJECT/CIRCUMSTANCES-IN PROGRESS,,,1218 Ipsilantou Ave
mbdata,20140123183239,KronosQuoth,"Thinking should become your capital asset, no matter whatever ups and downs you come across in your life.  #POKRally #HI",,,
mbdata,20140123183239,KronosQuoth,How wonderful it is that nobody need wait a single moment before starting to improve the world.  #KronosStar #POKRally,,,
mbdata,20140123183239,KronosQuoth,The question isnt who is going to let me; its who is going to stop me.  #KronosStar #POKRally,,,
mbdata,20140123183239,KronosQuoth,"When everything seems to be going against you, remember that the airplane takes off against the wind, not with it.  #KronosStar #POKRally",,,
mbdata,20140123183308,KronosQuoth,Nothing in the world is more common than unsuccessful people with talent.  #POKRally #HI,,,
mbdata,20140123183308,Clevvah4Evah,Serving filay minion tonite #POK #Rally #Grammar,,,
mbdata,20140123183308,Clevvah4Evah,My hand hurts I think I have carpet tunnel #POK #Rally #Grammar,,,
mbdata,20140123183324,pashmina887,Can't wait until my cruise leaves this stinking island. #downwithkronos,,,
mbdata,20140123183324,choconibbs,Another half hour wasted #POKRally,,,
mbdata,20140123183324,truccotrucco,not really feelin the Doc kinda wish Sylvia would just keep speaking #POK,36.052,24.852,
mbdata,20140123183334,KronosQuoth,Develop success from failures. Discouragement and failure are two of the surest stepping stones to success.  #POKRally #HI,,,
mbdata,20140123183354,KronosQuoth,All progress takes place outside the comfort zone.  #POKRally #HI,,,
mbdata,20140123183354,KronosQuoth,"Do what you can, where you are, with what you have.  #KronosStar #POKRally",,,
mbdata,20140123183354,KronosQuoth,What's the point of being alive if you don't at least try to do something remarkable.  #POKRally #HI,,,
mbdata,20140123183418,trollingsnark,"Hello, all. How is your evening going in our island ""paradise""? #abilaparadise",,,
mbdata,20140123183418,choconibbs,OK fellow flits I'm off to get some enviro-harmful coffee. #POKRally,,,
mbdata,20140123183418,Officia1AbilaPost,"#AFD breaking scandal: setting fires in rundown neighborhoods for training exercises, accidental urban renewal.  smad.co.kronos/383xaw",,,
ccdata,20140123183418,,SUBJECT STOP,,,S. Maskin St / S. Eleftherias St
mbdata,20140123183424,KronosQuoth,Every child is an artist.  The problem is how to remain an artist once he grows up.  #KronosStar #POKRally,,,
mbdata,20140123183424,KronosQuoth,Develop success from failures. Discouragement and failure are two of the surest stepping stones to success.  #POKRally #HI,,,
mbdata,20140123183424,KronosQuoth,"Teach thy tongue to say, I do not know, and thous shalt progress.  #KronosStar #POKRally",,,
mbdata,20140123183448,KronosQuoth,Intuition influences your own observations #POKRally #HI,,,
mbdata,20140123183448,KronosQuoth,"People often say that motivation doesnt last. Well, neither does bathing.  Thats why we recommend it daily.  #KronosStar #POKRally",,,
mbdata,20140123183448,KronosQuoth,Every child is an artist.  The problem is how to remain an artist once he grows up.  #KronosStar #POKRally,,,
mbdata,20140123183500,GreyCatCollectibles,OMG -- really smells like smoke now,,,
mbdata,20140123183500,POK,Get involved!: POK.kronos/join,,,
mbdata,20140123183500,ourcountryourrights,"Dr. Newman says """"keep the pressure up"""". #POK""""",,,
mbdata,20140123183500,ReggieWassali,"""power is not only what you have, but what enemy thinks you have"" DrNewman #POKRally",,,
mbdata,20140123183500,FriendsOfKronos,whos the enemy doc? the people of kronos? the kidnapped victims of POK terrror? ridiculous #POK,,,
ccdata,20140123183500,,DISTURBANCE-NOISE,,,3114 N. Asiant St
mbdata,20140123183514,KronosQuoth,"Take up one idea. Make that one idea your life - think of it, dream of it, live on that idea.#POKRally #HI",,,
mbdata,20140123183524,sarajane,RT @pashmina887 Can't wait until my cruise leaves this stinking island. #downwithkronos,,,
mbdata,20140123183524,microBanana,RT @truccotrucco not really feelin the Doc kinda wish Sylvia would just keep speaking #POK,,,
mbdata,20140123183544,KronosQuoth,"To accomplish great things, we must not only act, but also dream, not only plan, but also believe. #POKRally #HI",,,
mbdata,20140123183544,KronosQuoth,Remember no one can make you feel inferior without your consent.  #KronosStar #POKRally,,,
mbdata,20140123183544,KronosQuoth,We can easily forgive a child who is afraid of the dark; the real tragedy of life is when men are afraid of the light.  #KronosStar #POKRally,,,
mbdata,20140123183614,KronosQuoth,The only person you are destined to become is the person you decide to be.  #KronosStar #POKRally,,,
mbdata,20140123183614,KronosQuoth,The mind is everything. What you think you become.   #KronosStar #POKRally,,,
mbdata,20140123183614,KronosQuoth,"I have not failed. I've just found 10,000 ways that won't work.  #POKRally #HI",,,
mbdata,20140123183614,KronosQuoth,"There is no chance, no destiny, no fate, that can hinder or control the firm resolve of a determined soul.  #POKRally #HI",,,
mbdata,20140123183621,blueSunshine,RT @maha_Homeland Dr. Newman advises activists to keep the pressure on and never let up,,,
mbdata,20140123183637,KronosQuoth,We become what we think about.  #KronosStar #POKRally,,,
mbdata,20140123183637,Clevvah4Evah,April 31 2013 - will always remember that date #POK #Rally #Grammar,,,
mbdata,20140123183659,KronosQuoth,"It's not what you look at that matters, it's what you see.  #POKRally #HI",,,
mbdata,20140123183700,wiseWords,RT @POK Get involved!: POK.kronos/join,,,
mbdata,20140123183700,brain448,RT @FriendsOfKronos whos the enemy doc? the people of kronos? the kidnapped victims of POK terrror? ridiculous #POK,,,
mbdata,20140123183719,KronosQuoth,The only place where success comes before work is in the dictionary.  #POKRally #HI,,,
ccdata,20140123183725,,BUSINESS CHECK,,,3799 N. Taxiarchon Ave
mbdata,20140123183742,KronosQuoth,When you stop chasing the wrong things you give the right things a chance to catch you.  #POKRally #HI,,,
mbdata,20140123183800,GreyCatCollectibles,Just called 555 - now the cat and I need to get out... if we can,,,
mbdata,20140123183800,ourcountryourrights,We will never forget the murder of Elian. #JusticeforElian #POK,,,
ccdata,20140123183800,,TRAFFIC STOP,,,N. Bilar St / N. Ketallinias St
mbdata,20140123183809,KronosQuoth,"Trust because you are willing to accept the risk, not because it's safe or certain.  #POKRally #HI",,,
mbdata,20140123183809,KronosQuoth,Only put off until tomorrow what you are willing to die having left undone.  #POKRally #HI,,,
mbdata,20140123183809,KronosQuoth,"It's not what you look at that matters, it's what you see.  #POKRally #HI",,,
mbdata,20140123183829,KronosQuoth,"Life is not measured by the number of breaths we take, but by the moments that take our breath away.  #KronosStar #POKRally",,,
mbdata,20140123183829,Clevvah4Evah,Please except my gift of appreciation #POK #Rally #Grammar,,,
