type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
ccdata,20140123200100,,TRAFFIC STOP,,, N. Polvo St / Egeou Ave
mbdata,20140123200100,dealsRUs101,Easy credit cards! get what you're worth! easycredit.kronos/morecredit #abila #nobanks,,,
mbdata,20140123200111,FriendsOfKronos,APD stop the terrorists before they cut the hostages head off! #POK,,,
mbdata,20140123200111,megaMan,@ben I don't see anyone from the van. who said that? #TAG,,,
mbdata,20140123200111,prettyRain,Is anyone going to help us??!!???,,,
mbdata,20140123200111,roger_roger,don't want to be seen,,,
mbdata,20140123200124,maskedWoman101,"Gain over 1,000 followers a week by using: getem.kronos/followers #abilaFinest #followme",,,
mbdata,20140123200124,KronosQuoth,A real entrepreneur is somebody who has no safety net underneath them.  #POKRally #HI,,,
mbdata,20140123200155,KronosQuoth,"Whether you think you can or you think you cant, youre right.  #KronosStar #POKRally",,,
mbdata,20140123200155,KronosQuoth,The starting point of all achievement is desire.  #POKRally #HI,,,
mbdata,20140123200155,deals4realz,Artist ? musician? need more followers ? click here  followme.kronos/artists #abila #artists,,,
mbdata,20140123200155,KronosQuoth,Successful entrepreneurs are givers and not takers of positive energy.  #POKRally #HI,,,
mbdata,20140123200157,megaMan,im just seeing someone talking to van guys. if there is anyone in the van they are still in there #TAG,,,
mbdata,20140123200157,HomelandIlluminations,SWAT team appears to have taken command,,,
mbdata,20140123200222,KronosQuoth,You measure the size of the accomplishment by the obstacles you had to overcome to reach your goals.  #POKRally #HI,,,
mbdata,20140123200222,Clevvah4Evah,My hand hurts I think I have carpet tunnel #POK #Rally #Grammar,,,
mbdata,20140123200245,skinnyJeans,I recommend this site #abila dates.kronos/clickhere,,,
mbdata,20140123200245,Clevvah4Evah,Thats bad I have carpool tunnel #POK #Rally #Grammar,,,
mbdata,20140123200245,dealsRUs101,Hi! I advise you to visit this link hottips.kronos/trading #abila,,,
mbdata,20140123200257,brain448,RT @HomelandIlluminations SWAT team appears to have taken command,,,
mbdata,20140123200257,henri,RT @HomelandIlluminations SWAT team appears to have taken command,,,
mbdata,20140123200307,KronosQuoth,There are no traffic jams along the extra mile.  #KronosStar #POKRally,,,
mbdata,20140123200328,junkieduck113,How's your credit rating? Need a boost? fixit.kronos/creditratings #abila #badcredit,,,
mbdata,20140123200328,KronosQuoth,You can't connect the dots looking forward; you can only connect them looking backwards. #POKRally #HI,,,
mbdata,20140123200332,aaasTech,Meeting at the hospital to support fund raising planning #abila #hospital,,,
mbdata,20140123200332,protoGuy,I see?some swat dudes setting up on the top of a building,,,
mbdata,20140123200332,megaMan,thanks for the new follows all!  Im fairly safe here.  Police are working crowd down the street #TAG,,,
mbdata,20140123200332,joyousNoise,please pray for safe release of hostages,,,
mbdata,20140123200332,NewsOnlineToday,SWAT team appears to be in command #Abila,,,
mbdata,20140123200332,AbilaPoliceDepartment,A police office has been injured at the Ithakis incident but is reported in stable condition. #APD,,,
mbdata,20140123200332,roger_roger,we're all on the floor. we managed to block the back door.,,,
mbdata,20140123200348,KronosQuoth,The first step toward success is taken when you refuse to be a captive of the environment in which you first find yourself.  #POKRally #HI,,,
