,HighWeight,LowWeight,RelativeWeight
AUDIO DESCRIPTION,324.0,48.0,6.75
SYNTHESIZER,8.0,,
WALKIE-TALKIE,8.0,,
KITCHEN OR BAR SETTING,8.0,,
PARKING LOT,1.0,,
HAND AND FINGER MOVEMENTS,26.0,17.0,1.5294117647058822
ROWBOAT,,6.0,
DISCOMFORT,22.0,,
WALL DECOR,20.0,,
CASUAL ATTIRE,37.0,7.0,5.285714285714286
FACIAL EXPRESSIONS,365.0,102.0,3.5784313725490198
BODY POSTURE,32.0,14.0,2.2857142857142856
PRODUCT,58.0,,
S22 ULTRA,8.0,,
SIGNS OF ENTHUSIASM,7.0,7.0,1.0
SUGAR,15.0,,
ELECTRONIC DRUMS,8.0,,
TEXT OVERLAY,352.0,128.0,2.75
NON-VERBAL VOCALIZATIONS,2.0,,
SAMSUNG GALAXY S22 ULTRA,1.0,,
CAMERA MOVEMENT,8.0,,
PHONE CALL AUDIO,,7.0,
BACKGROUND NOISE,161.0,67.0,2.4029850746268657
RECIPE AUDIO,1.0,,
MELODIC RAPPING,8.0,,
MUSIC OR SOUND,,6.0,
SHOPPING LIST,7.0,,
MICROPHONE,15.0,7.0,2.142857142857143
SPONSORSHIP STRATEGIES,47.0,21.0,2.238095238095238
UPBEAT MUSIC,35.0,7.0,5.0
BADGE BUNNIES,7.0,,
EYE MOVEMENTS,46.0,31.0,1.4838709677419355
FACIAL EXPRESSION,40.0,13.0,3.076923076923077
RAP SONG,8.0,,
"PHRASE ""TELL NOBODY""",7.0,,
HAND GESTURE,93.0,42.0,2.2142857142857144
SOUNDS OF DISGUST,,7.0,
RHYTHMIC DELIVERY,8.0,,
FINGER POSITION,,5.0,
BACKGROUND VOCALS,15.0,,
GREEN SHIRT,12.0,,
BLACK HISTORY MONTH,8.0,,
BRAND VISIBILITY,8.0,12.0,0.6666666666666666
WOODEN SPOON,7.0,,
BOOKS OR NOTEBOOKS,7.0,,
VERBAL CUES,7.0,,
TIKTOK USERNAME,72.0,16.0,4.5
INDOOR SETTING,427.0,74.0,5.77027027027027
MEDIUM SILENCES,38.0,11.0,3.4545454545454546
AUDIO TUTORIAL,17.0,,
VERBAL OR TEXT DISCLOSURE,6.0,,
BODY OF WATER,,6.0,
TRAP BEAT,,1.0,
BLACK COOKING POT,7.0,,
TIKTOK WATERMARK,122.0,36.0,3.388888888888889
OVERCAST SKY,7.0,,
COOKING TECHNIQUE,17.0,,
MALE NARRATOR,8.0,6.0,1.3333333333333333
COZY ROOM,8.0,7.0,1.1428571428571428
ENTHUSIASM,32.0,,
REPRESENTATION IN EDUCATION,8.0,,
FOOD REVIEW,,7.0,
GLASSES,27.0,12.0,2.25
BRAND MENTION,6.0,,
SEASONING PACKET,7.0,,
BLUE CLOTHING,6.0,,
SKINCARE PRODUCTS,22.0,,
MOUNTAINOUS LANDSCAPE,,5.0,
NON-VERBAL SOUNDS,1.0,2.0,0.5
LOGOS AND BRAND NAMES,6.0,,
FLYER,7.0,,
APP WATERMARK,7.0,,
HAT WITH LOGO,7.0,,
SILENCES AND PAUSES,85.0,18.0,4.722222222222222
BRAND LOGOS,1.0,,
NATHANIEL HUGHES,7.0,,
POLICE REFORM,8.0,,
HEAD AND EYE MOVEMENTS,51.0,13.0,3.923076923076923
REVERB/DELAY,8.0,,
POSITIVE EMOTIONAL STATE,20.0,7.0,2.857142857142857
INDOOR KITCHEN SETTING,31.0,,
LIGHTING FIXTURE,6.0,5.0,1.2
PEACE SIGN GESTURE,23.0,1.0,23.0
VIEWER'S COMMENT,16.0,,
MALE VOCALS,1.0,6.0,0.16666666666666666
CASUAL CLOTHING,7.0,,
SIGNS OF SINCERITY,18.0,7.0,2.5714285714285716
OUTDOOR URBAN SETTING,8.0,6.0,1.3333333333333333
DRUG-RELATED DISCUSSION,,1.0,
SPOKEN-WORD QUALITY,7.0,,
ON-SCREEN TEXT,37.0,,
