,HighWeight,LowWeight,RelativeWeight
HIGH AUTHENTIC VIDEO,10.0,1.0,10.0
FEMALE INFLUENCER,907.0,365.0,2.484931506849315
CASUAL HOME SETTING,15.0,,
LYSOL PRODUCT,7.0,,
CAPTIONS,8.0,,
SPONSORSHIP STRATEGY,7.0,,
HAND AND FINGER GESTURES,111.0,39.0,2.8461538461538463
HEAD AND EYE MOVEMENTS,38.0,20.0,1.9
RELAXED POSTURE,23.0,,
AGE REFLECTION,8.0,,
DOMESTIC AREAS,8.0,,
VIEWER ENGAGEMENT,9.0,,
NARRATIVE STYLE,1.0,,
CHILDREN'S TOYS,7.0,7.0,1.0
INDOOR SETTING,386.0,109.0,3.541284403669725
TOYS ON THE FLOOR,8.0,,
TEXT OVERLAY,346.0,165.0,2.096969696969697
MALE SPEAKER,43.0,13.0,3.3076923076923075
BACKGROUND NOISE,161.0,69.0,2.3333333333333335
WOMAN IN DARK TOP,7.0,,
NEUTRAL COLORS,7.0,,
SLOW SPEECH,7.0,,
SILENCES AND PAUSES,86.0,23.0,3.739130434782609
NON-VERBAL VOCAL SOUNDS,36.0,8.0,4.5
DISCOMFORT LEVEL,8.0,,
MAKEUP TUTORIAL,26.0,8.0,3.25
CASUAL AT-HOME ENVIRONMENT,7.0,,
MIRROR,13.0,18.0,0.7222222222222222
SPANISH SONG,2.0,,
FEMALE VOCAL,1.0,,
BRIGHT LIGHTING,23.0,7.0,3.2857142857142856
ELECTRONIC INSTRUMENTS,7.0,,
CALL AND RESPONSE,8.0,,
HIGH PITCHES,52.0,,
LOW PITCHES,51.0,7.0,7.285714285714286
NEUTRAL-COLORED WALLS,12.0,,
LOW AUTHENTIC VIDEO,1.0,10.0,0.1
ATHLETIC SET,,6.0,
STYLISH DRESS,,6.0,
TIKTOK OVERLAY,,7.0,
R&B SONG,,7.0,
FEMALE VOCALIST,24.0,1.0,24.0
PRODUCT BRAND,,7.0,
HAND GESTURE,94.0,48.0,1.9583333333333333
LIGHT-COLORED WALLS,,6.0,
VENTILATION GRATE,,5.0,
LIGHT SWITCHES,,5.0,
TIKTOK USERNAME,64.0,23.0,2.782608695652174
FASHION TRANSFORMATION THEME,,7.0,
AMAZON COAT RACK,,7.0,
WALK-IN CLOSET,,6.0,
ELECTRONIC MUSIC LOOP,,5.0,
ABSTRACT ARTWORK,,5.0,
POTTED PLANT,7.0,1.0,7.0
SETUP ACTIVITY,,6.0,
ORGANIZATION ACTIVITY,,6.0,
FACIAL EXPRESSIONS,339.0,105.0,3.2285714285714286
EYE AND HEAD MOVEMENTS,131.0,30.0,4.366666666666666
HAND MOVEMENTS,24.0,11.0,2.1818181818181817
BODY LANGUAGE,92.0,37.0,2.4864864864864864
UNBOXING ACTIVITY,8.0,6.0,1.3333333333333333
GORGEOUS GOING OUT DRESS,,7.0,
AMAZON,,12.0,
BEDROOM SETTING,,6.0,
TIKTOK WATERMARK,103.0,53.0,1.9433962264150944
MALE VOICE,58.0,17.0,3.411764705882353
TRAP BEAT,,1.0,
PHONE/CAMERA,,5.0,
WALL ART,22.0,10.0,2.2
BEDDING,,11.0,
PARTIALLY OPEN DOOR,,1.0,
VISUAL DESCRIPTION,8.0,7.0,1.1428571428571428
PACKAGED CLOTHING ITEMS,8.0,,
PACKAGING DETAILS,7.0,,
AUDIO DESCRIPTION,275.0,72.0,3.8194444444444446
MINI LOOKBOOK,8.0,,
PRODUCT PLACEMENT,81.0,27.0,3.0
BRAND VISIBILITY,8.0,6.0,1.3333333333333333
CONTENT FOCUS,1.0,,
HAND GESTURES,156.0,38.0,4.105263157894737
TRAP SONG,13.0,,
KITCHEN SETTING,40.0,,
MEASURING CUP,7.0,,
INGREDIENTS,8.0,,
BAKING PAN,7.0,,
PRODUCT,50.0,7.0,7.142857142857143
WHITE KITCHEN POT,7.0,,
LARGE WHITE MUG,6.0,,
MICROWAVE,6.0,,
TEAPOT,6.0,,
CABINETS,7.0,,
COUNTERTOP,8.0,1.0,8.0
CUTTING BOARD,7.0,,
HARD-BOILED EGG GADGET,1.0,7.0,0.14285714285714285
KITCHEN STOVE,7.0,,
FEMALE SPEAKER,58.0,9.0,6.444444444444445
AUDIO ELEMENTS,,7.0,
NON-VERBAL SOUNDS,1.0,2.0,0.5
PLASTIC RUSTLING,,6.0,
WATER RUNNING,,5.0,
SHAKING SOUND,,7.0,
SIGH,,6.0,
LAUGH,1.0,1.0,1.0
TIMER,7.0,7.0,1.0
MALE INFLUENCER,322.0,56.0,5.75
SPONSORED PRODUCT,14.0,,
MICROPHONE,8.0,8.0,1.0
AUDIO TUTORIAL,17.0,,
UPBEAT BACKGROUND MUSIC,31.0,,
MUFFLED VOICE EFFECT,7.0,,
DRAMATIC VOICEOVER SAMPLE,1.0,,
VERTICAL BLINDS,6.0,,
GLASSES,27.0,12.0,2.25
DIM LIGHTING,7.0,,
GESTURES,40.0,12.0,3.3333333333333335
CLOTHING WITH TEXT AND GRAPHICS,7.0,,
WALLS AND INTERIOR FEATURES,1.0,,
CASUAL ATTIRE,37.0,7.0,5.285714285714286
SPEAKER,135.0,29.0,4.655172413793103
VOICE-OVER TECHNIQUE,8.0,,
ROOM TONE,,6.0,
HESITATIONS AND FILLER WORDS,7.0,,
AUDIO QUALITY,35.0,,
SILENCE DURATION,1.0,,
DECIBEL LEVEL,8.0,,
SPEECH RATE,116.0,16.0,7.25
THRIFT SHOPPING EXPERIENCE,9.0,,
LOWER EAST SIDE (LES),8.0,,
OUTFITS AND ACCESSORIES,8.0,,
SUSTAINABLE FASHION,8.0,,
FIRST-PERSON PERSPECTIVE,7.0,,
URBAN ENVIRONMENT,14.0,5.0,2.8
CONVERSE SNEAKERS,6.0,,
LO-FI HIP HOP SONG,7.0,,
FEMALE VOCALS,9.0,,
SPONSORSHIP INDICATORS,35.0,20.0,1.75
INTERACTION AND INTRODUCTION,8.0,,
AUDIENCE ENGAGEMENT,43.0,6.0,7.166666666666667
CONTENT INTEGRATION,9.0,,
CAMERA ANGLE,7.0,,
DIGITAL WATERMARK,6.0,,
AUDIO EFFECTS,23.0,10.0,2.3
VIDEO THEME,9.0,,
DAILY DIARIES VLOG,9.0,,
MORNING ROUTINE,36.0,7.0,5.142857142857143
UNIVERSITY ACTIVITIES,8.0,,
ICE SKATING,8.0,,
CEILING FAN,7.0,,
EMOTIONAL STATE AND DEMEANOR,18.0,6.0,3.0
BACKGROUND NOISE LEVEL,10.0,6.0,1.6666666666666667
LYRICS,25.0,7.0,3.5714285714285716
SUBURBAN STREET,8.0,,
ATHLETIC GEAR,8.0,,
BRAND LOGOS,1.0,,
OVERCAST SKY,7.0,,
BRIGHT NEON YELLOW SHORTS,8.0,,
BRIGHT NEON YELLOW SHOES,8.0,,
MUSIC CHOICE,7.0,,
MONTHS OF THE YEAR,1.0,,
RESIDENTIAL AREA,24.0,6.0,4.0
SKINCARE PRODUCTS,14.0,7.0,2.0
SPF,,7.0,
SPONSORED POST,,8.0,
CALL TO ACTION,10.0,8.0,1.25
ULTRA VIOLETTE QUEEN SCREEN,,1.0,
NECKLACE,6.0,5.0,1.2
UPBEAT MUSIC,29.0,8.0,3.625
SKINCARE ROUTINE,16.0,7.0,2.2857142857142856
SUNSCREEN PRODUCT,8.0,,
PITCH FLUCTUATIONS,8.0,,
FAST SPEECH RATE,7.0,,
ARTICULATION CLARITY,84.0,25.0,3.36
LOW BACKGROUND NOISE,8.0,,
RATTLING SOUND,6.0,,
WHITE CAST,7.0,,
GLOWING SKIN,8.0,,
SPF 50+,7.0,,
NOT A PAID SPONSORSHIP,9.0,,
BEAUTY BLOGGING GENRE,7.0,,
JACK SKELLINGTON SNOW GLOBE,8.0,,
CANDLE WARMER,7.0,,
BACKGROUND MUSIC,158.0,19.0,8.31578947368421
PRODUCT PLACEMENT STRATEGY,1.0,6.0,0.16666666666666666
DIY CRAFT PROJECT,8.0,,
MORNING ROUTINE VLOG,9.0,,
VITALITY HARVEST PRODUCT,8.0,,
STRETCHING AND GETTING UP,8.0,,
BATHROOM ROUTINE,8.0,,
BREAKFAST PREPARATION,8.0,,
WORKING OR PLANNING,8.0,,
PERSONAL TIME,8.0,,
SPONSORSHIP STRATEGIES,52.0,21.0,2.4761904761904763
FACIAL EXPRESSIONS AND MOVEMENTS,8.0,,
EMOTIONAL STATE,13.0,16.0,0.8125
WAKING UP,8.0,,
MALE COMPANION,,7.0,
AFRO NATION WEEKEND,,8.0,
AFRICAN SONG,,1.0,
DRUMS,,7.0,
BACKGROUND VOCALS,15.0,,
MUSICAL INSTRUMENTS,,8.0,
LYRICS REPETITION,,7.0,
MALE VOCALIST,11.0,7.0,1.5714285714285714
VLOG-STYLE VIDEO,,7.0,
INFLUENCER,36.0,31.0,1.1612903225806452
"WASHINGTON, DC",,6.0,
BRANDED PRODUCTS,7.0,1.0,7.0
HAND AND FINGER GESTURE,7.0,18.0,0.3888888888888889
HAIR AND MAKEUP STYLES,8.0,,
EYE CONTACT,42.0,6.0,7.0
TIKTOK HANDLE,40.0,37.0,1.0810810810810811
DEMI LOVATO OBSESSION,8.0,,
COLORFUL HEADBAND,7.0,,
HAIR STYLING DEMONSTRATION,,7.0,
DANCE-POP SONG,,5.0,
VOCALS,,5.0,
EYE MOVEMENT,14.0,36.0,0.3888888888888889
HEAD MOVEMENT,14.0,29.0,0.4827586206896552
SHELVES,7.0,5.0,1.4
POSTER/ART,,5.0,
LAMP,19.0,5.0,3.8
DECORATIVE ITEMS,9.0,1.0,9.0
ZANA BAYNE X PARADE,8.0,,
PERSONAL SPACE,7.0,,
CLOTHING RACKS,6.0,1.0,6.0
DANCE SEQUENCE,7.0,,
MODERN FLOOR LAMP,5.0,,
WHITE SHOES,6.0,,
CASUAL SETTING,91.0,,
NEUTRAL TONES,41.0,4.0,10.25
CARPETED FLOOR,5.0,,
HANGERS,6.0,,
FASHION TIPS,8.0,,
TOWEL SWAN,8.0,,
PATTERNED SURFACE,6.0,,
FOOT MOVEMENT,1.0,,
AUDIO ANALYSIS TOOLS,,5.0,
MUSICAL TRACK,,6.0,
SILENCES IN AUDIO,,6.0,
AUDIO FILE,9.0,8.0,1.125
WORD COUNT,1.0,6.0,0.16666666666666666
VOICE OVERLAY,,6.0,
DECIBEL METER READING,,1.0,
WOODY SANDALWOOD PERFUME,,7.0,
PRODUCT FEATURE MOMENTS,35.0,12.0,2.9166666666666665
INTERACTION AND HANDLING,8.0,7.0,1.1428571428571428
VISUAL FOCUS STRATEGY,,6.0,
PERSONAL TESTIMONY STRATEGY,,6.0,
NATURAL SETTING STRATEGY,,6.0,
OVERALL IMPRESSION,,14.0,
GESTURE AND MOVEMENT,8.0,7.0,1.1428571428571428
STANDING POSTURE,,6.0,
BRIGHT INDOOR LIGHTING,,1.0,
PRODUCT INTRODUCTION,22.0,20.0,1.1
WOODY SANDALWOOD PRODUCT,7.0,,
BLUE SWEATSHIRT,7.0,,
PINK SCRUNCHIE,8.0,,
UPBEAT TEMPO SONG,1.0,,
SHORT SILENCES,50.0,11.0,4.545454545454546
DIRECT EYE CONTACT,9.0,,
VIEWER'S COMMENT,16.0,,
CHAIR,12.0,,
APP WATERMARK,7.0,,
WINDOWS PHONE,1.0,,
EYE MOVEMENTS,47.0,43.0,1.0930232558139534
HEAD MOVEMENTS,30.0,41.0,0.7317073170731707
GAMING CHAIR,6.0,,
TECHNOLOGY REVIEWER,9.0,,
LUMIA 1020,9.0,,
PITCH VARIATION,16.0,12.0,1.3333333333333333
VOLUME AND CLARITY,9.0,,
TECH ENTHUSIASTS,1.0,,
VIDEO RECORDING QUALITY,9.0,,
DIGITAL STORAGE OPTIONS,8.0,,
BRAND MENTION,6.0,,
VERBAL OR TEXT DISCLOSURE,6.0,,
PRODUCT OR SERVICE,7.0,,
COMMENT BUBBLE,7.0,,
TERABOX APP,8.0,7.0,1.1428571428571428
SKYLARBURTON35,1.0,,
TONE OF VOICE,7.0,,
OVERALL DEMEANOR,10.0,,
PITCH VARIATIONS,23.0,,
VOLUME LEVEL,30.0,5.0,6.0
FACIAL EXPRESSION,40.0,13.0,3.076923076923077
AUDIO ANALYSIS,17.0,13.0,1.3076923076923077
QUIET ENVIRONMENT,9.0,6.0,1.5
CLOUD STORAGE OFFER,,7.0,
PAUSES,9.0,6.0,1.5
HESITATIONS,4.0,2.0,2.0
SILENCES,17.0,11.0,1.5454545454545454
FREE CLOUD STORAGE,,1.0,
LOUDNESS CONSISTENCY,,6.0,
FASHION HACK,9.0,,
SHOELACE,8.0,,
DENIM SHORTS,8.0,,
RAP SONG,8.0,,
