,HighWeight,LowWeight,RelativeWeight
AUDIO DESCRIPTION,324.0,48.0,6.75
BURGUNDY TRENCH COAT,8.0,,
CAR INTERIOR,29.0,7.0,4.142857142857143
DRUGSTORE MAKEUP PRODUCTS,8.0,,
DANCE-POP SONG,6.0,,
TIKTOK LOGO AND USERNAME,13.0,,
LARGE ICED COFFEE CUP,7.0,,
HAIR ROUTINE,9.0,,
BACKGROUND NOISE,161.0,67.0,2.4029850746268657
EMOJIS,6.0,5.0,1.2
WORKING OR PLANNING,8.0,,
HANDLING AND DEMONSTRATION,7.0,,
EGG,7.0,,
TIKTOK CLIP,18.0,7.0,2.5714285714285716
LOW BACKGROUND NOISE,8.0,,
FRIDAY MORNING SERIES,9.0,,
GUITAR,,7.0,
ATHLETIC SET,,6.0,
PHONE/CAMERA,,5.0,
POSITIVE DEMEANOR,36.0,,
FACIAL EXPRESSION,40.0,13.0,3.076923076923077
DRINK,6.0,,
SONG AUDIO,9.0,,
CUPCAKES,7.0,,
POSITIVE EMOTIONS,9.0,,
BRANDED TISSUE PAPER,6.0,,
CLASS OF 2023,8.0,,
LARGE BEVERAGE CONTAINER,,6.0,
CASUAL HOME ENVIRONMENT,,6.0,
ATHENOS FETA CHEESE,8.0,,
GREEN BOX,8.0,7.0,1.1428571428571428
INTRODUCTION AND INTERACTION,8.0,,
MUSICAL EXCERPT,,6.0,
BRAND VISIBILITY,8.0,12.0,0.6666666666666666
SOCIAL MEDIA WEEK LIMA,,7.0,
PERSONAL CARE,8.0,,
RESTAURANT SETTING,7.0,,
LIGHT MAKEUP,6.0,,
CLOSET SETTING,16.0,,
SIGNS OF DISCOMFORT,16.0,,
HARD-BOILED EGG GADGET,1.0,7.0,0.14285714285714285
CHOPSTICK GESTURE,7.0,,
LARGE HOOP EARRINGS,6.0,,
LO-FI MUSIC,7.0,,
EARRINGS,8.0,,
INTERACTION AND HANDLING,8.0,7.0,1.1428571428571428
SOCIAL MEDIA HANDLE,32.0,,
AUTHENTIC ENGAGEMENT,9.0,,
EXCITEMENT AND ENTHUSIASM,,7.0,
EXPRESSIVE EYES,7.0,,
VOCAL TONE AND INFLECTION,8.0,,
GRWM THEME,,7.0,
SEPHORA,7.0,,
KARAOKE BAR,8.0,,
FEMALE INDIVIDUAL RIGHT,8.0,,
CANDLE WARMER,7.0,,
FRIENDS' VACATION,1.0,,
ROOM WITH NEUTRAL COLORS,7.0,,
VLOG-STYLE AUDIO,9.0,,
OUTDOOR URBAN SETTING,8.0,6.0,1.3333333333333333
HAIR TOOL,,7.0,
ON-SCREEN TEXT,37.0,,
TRIPLE ZERO FRAGRANCE,1.0,,
UPRIGHT POSTURE,15.0,,
CASUAL SETTING,75.0,14.0,5.357142857142857
LAURA,7.0,,
CAKE WITH ELSA DESIGN,9.0,,
BODY LANGUAGE,102.0,31.0,3.2903225806451615
INTERACTION AND INTRODUCTION,8.0,,
PERSONAL SPACE,7.0,,
CATCHY POP SONG,8.0,,
PARAMOUNT+,15.0,,
WALKING MOTIONS,8.0,,
NEUTRAL-COLORED WALL,6.0,,
MEATBALL SCOOPER,7.0,,
ARTS AND ENTERTAINMENT,8.0,,
BEAUTY TUTORIAL,8.0,,
BACKGROUND MUSIC,159.0,19.0,8.368421052631579
VIBRANT PINK TOP,7.0,,
ARTICULATION CLARITY,84.0,18.0,4.666666666666667
AMAZON,,6.0,
SITTING POSTURE,1.0,,
OSEA BRAND,8.0,,
FRUITVALE STATION,8.0,,
FITNESS THEME,8.0,,
BLUE SWEATSHIRT,7.0,,
LARGE MIRROR,13.0,,
FEMALE RAPPER,,1.0,
PRODUCT PLACEMENT,75.0,34.0,2.2058823529411766
OVERALL FOCUS,9.0,,
CAR SEAT SETTING,,1.0,
VALENTINE'S DAY GIFT BASKET,8.0,,
HARISSA,7.0,,
STROLLER,8.0,,
RESULTS MOMENT,7.0,,
TIKTOK HANDLE,52.0,23.0,2.260869565217391
BIRTHDAY PARTY,8.0,,
OUTDOOR BACKGROUND,7.0,,
GESTURE AND MOVEMENT,8.0,7.0,1.1428571428571428
LONG FLOWING HAIR,7.0,,
TEXT OVERLAYS,29.0,6.0,4.833333333333333
BODY POSITION,,6.0,
STANDING POSTURE,,6.0,
COZY HOME SETTING,8.0,,
SUPPORTIVE MESSAGE,9.0,,
PATTERNED ROBE,,6.0,
TIKTOK CONTENT,8.0,,
GENTLE GAZE,1.0,,
EXCITED GESTURES,,7.0,
CAMERA ENGAGEMENT,6.0,,
GLITTERY EYE SHADOW,,6.0,
TEXT ELEMENTS,15.0,,
FESTIVE ATMOSPHERE,18.0,6.0,3.0
NATURE BACKDROP,,7.0,
VIDEO THEME,9.0,,
COOKING ACTIVITY,8.0,,
DOG,15.0,6.0,2.5
VIDEO TITLE,8.0,6.0,1.3333333333333333
BATHROOM ROUTINE,8.0,,
MENTAL HEALTH BREAK,9.0,,
RATTLING SOUND,6.0,,
AYA NAKAMURA,8.0,,
SOCIAL MEDIA WATERMARKS,7.0,,
LIVING ROOM SETTING,8.0,,
PRODUCT PACKAGING,8.0,6.0,1.3333333333333333
DOG DAYCARE SCENE,,6.0,
COLORFUL HEADBAND,7.0,,
CUSHIONED SURFACE,6.0,,
TRIP TO CALIFORNIA,9.0,,
AMIKA,,6.0,
PROMOTIONAL VIDEO,9.0,,
DISHES,8.0,,
FASHION PRODUCTS,,7.0,
LYSOL PRODUCT,,7.0,
BROWN SUGAR OAT MILK SHAKEN ESPRESSO,1.0,,
DECORATIVE ELEMENTS,16.0,6.0,2.6666666666666665
PARTY DECORATIONS,,6.0,
HAND AND FINGER GESTURE,13.0,18.0,0.7222222222222222
CORPORATE JOB,7.0,,
CLOSE-UP OF LIPS,8.0,,
BAKERY,1.0,,
INTRODUCTION MOMENT,6.0,,
CASUAL INDOOR SETTING,8.0,,
OUTFIT DESCRIPTION,,7.0,
