entity,high_weights,high_counts,low_weights,low_counts,relative_weight,relative_count
MEASURING CUP,8.0,1.0,0.0,0.0,inf,inf
AESTHETICS AND PRESENTATION,9.0,1.0,0.0,0.0,inf,inf
EYES AND HEAD DIRECTION,0.0,0.0,9.0,1.0,0.0,0.0
CONTEMPLATIVE EXPRESSION,8.0,1.0,0.0,0.0,inf,inf
COME TO STARBUCKS WITH ME,9.0,1.0,0.0,0.0,inf,inf
LACK OF STRONG EMOTIONAL CUES,0.0,0.0,6.0,1.0,0.0,0.0
HEAVY METALS,7.0,1.0,0.0,0.0,inf,inf
SOFT LIGHTING,43.0,5.0,14.0,2.0,3.0714285714285716,2.5
MELODIC REPETITION,9.0,1.0,0.0,0.0,inf,inf
VOCALIZATION,13.0,2.0,0.0,0.0,inf,inf
OVERALL PACE,0.0,0.0,6.0,1.0,0.0,0.0
WOODEN FLOORING,7.0,1.0,7.0,1.0,1.0,1.0
LOW PITCHES,184.0,24.0,89.0,11.0,2.067415730337079,2.1818181818181817
PILE OF COLORFUL FABRIC,5.0,1.0,0.0,0.0,inf,inf
TWO CATS,8.0,1.0,0.0,0.0,inf,inf
ENGAGING PHRASES,8.0,1.0,0.0,0.0,inf,inf
WRITTEN CAPTION,0.0,0.0,7.0,1.0,0.0,0.0
MUSIC BOX,0.0,0.0,9.0,1.0,0.0,0.0
AFRO NATION WEEKEND,0.0,0.0,9.0,1.0,0.0,0.0
DYNAMIC PITCH,35.0,3.0,0.0,0.0,inf,inf
OTHER INDIVIDUALS,0.0,0.0,7.0,1.0,0.0,0.0
UPBEAT AND ENCOURAGING AUDIO,8.0,1.0,0.0,0.0,inf,inf
SOUR CREAM,8.0,1.0,0.0,0.0,inf,inf
RAISING EYEBROWS,7.0,1.0,0.0,0.0,inf,inf
SONG STRUCTURE,6.0,1.0,0.0,0.0,inf,inf
PRODUCT FEATURE MOMENTS,29.0,4.0,15.0,2.0,1.9333333333333333,2.0
ELECTRONIC MUSICAL LOOP,0.0,0.0,7.0,1.0,0.0,0.0
SPEECH LENGTH,7.0,1.0,0.0,0.0,inf,inf
BOWL OF NOODLES,9.0,1.0,0.0,0.0,inf,inf
CRUMBL COOKIES,9.0,1.0,0.0,0.0,inf,inf
DRUM MACHINE BEAT,6.0,1.0,0.0,0.0,inf,inf
MIXED EMOTIONS,8.0,1.0,0.0,0.0,inf,inf
BOX DESIGN,0.0,0.0,7.0,1.0,0.0,0.0
SPEAKER,202.0,21.0,87.0,10.0,2.32183908045977,2.1
LOW-PASS FILTER,15.0,2.0,0.0,0.0,inf,inf
SHORT SILENCE,5.0,1.0,0.0,0.0,inf,inf
CHAIR,27.0,4.0,0.0,0.0,inf,inf
KISSING/SMACKING SOUNDS,6.0,1.0,0.0,0.0,inf,inf
SLIGHT MUDDLING OF WORDS,7.0,1.0,0.0,0.0,inf,inf
EXPLANATION AND DEMONSTRATION,8.0,1.0,0.0,0.0,inf,inf
PICTURE FRAME,0.0,0.0,11.0,2.0,0.0,0.0
NATURAL CURLY HAIR,9.0,1.0,0.0,0.0,inf,inf
COZY DECOR,8.0,1.0,0.0,0.0,inf,inf
BOUTIQUE IN SCOTTSDALE,9.0,1.0,0.0,0.0,inf,inf
STEADY HEAD POSITION,8.0,1.0,0.0,0.0,inf,inf
SPONSORED INDICATORS,7.0,1.0,0.0,0.0,inf,inf
CONVERSATIONAL VERSES,7.0,1.0,0.0,0.0,inf,inf
COZY ENVIRONMENT,8.0,1.0,0.0,0.0,inf,inf
LOW-PITCHED PIANO NOTES,8.0,1.0,0.0,0.0,inf,inf
FOOD REACTION,6.0,1.0,0.0,0.0,inf,inf
CALM DEMEANOR,17.0,2.0,0.0,0.0,inf,inf
