,HighWeight,LowWeight,RelativeWeight
HIGH AUTHENTIC VIDEO,10.0,1.0,10.0
FEMALE INFLUENCER,902.0,339.0,2.6607669616519174
CASUAL AT-HOME ENVIRONMENT,8.0,,
MIRROR,14.0,17.0,0.8235294117647058
SPANISH SONG,8.0,,
FEMALE VOCAL,8.0,,
REGGAETON MUSIC,1.0,,
NEUTRAL-COLORED WALLS,7.0,,
BRIGHT LIGHTING,30.0,7.0,4.285714285714286
PICTURE OR POSTER,7.0,,
RED HAIR,14.0,,
ELECTRONIC INSTRUMENTS,7.0,,
VOCAL EFFECTS,7.0,7.0,1.0
THEMES OF LOVE AND DESIRE,1.0,,
EYESHADOW,8.0,,
LOW AUTHENTIC VIDEO,1.0,10.0,0.1
FASHION TRANSFORMATION,,7.0,
INDOOR SETTING,378.0,92.0,4.108695652173913
SOULFUL R&B SONG,,5.0,
TIKTOK OVERLAY,,1.0,
STYLISH DRESS,,6.0,
HAND GESTURE,98.0,40.0,2.45
LIGHT-COLORED WALLS,,5.0,
VENTILATION GRATE,,5.0,
DOOR,,5.0,
LIGHT SWITCHES,,1.0,
ATHLETIC SET,,6.0,
AUDIO CLIP,9.0,7.0,1.2857142857142858
ROMANTIC MOMENT,,7.0,
MAN IN LIGHT-COLORED SUIT,,6.0,
"WARM, EARTHY SETTING",,6.0,
TIKTOK WATERMARK,120.0,30.0,4.0
MELANCHOLIC MUSIC,,6.0,
VOCALS,15.0,,
SOUND EFFECTS,15.0,,
LYRICS,27.0,14.0,1.9285714285714286
GREEN LEAVES,7.0,,
MALE VOCALS,9.0,1.0,9.0
REVERB EFFECT,,6.0,
AUDIO ANALYSIS,8.0,14.0,0.5714285714285714
PITCH RANGE,9.0,,
MELODIC CONTOUR,9.0,,
RECURRING PITCH PATTERNS,34.0,,
SINGER,17.0,8.0,2.125
QUIET AUDIO,1.0,,
POOR ARTICULATION CLARITY,11.0,8.0,1.375
NOISE LEVEL,7.0,,
MINIMAL SILENCES,1.0,,
SLOW SPEECH RATE,7.0,,
MALE INFLUENCER,304.0,72.0,4.222222222222222
PATRIOTIC SETTING,8.0,,
CHRISTOPHER CHAOS LOGO,7.0,,
TIKTOK HANDLE,56.0,16.0,3.5
GRUNT STYLE,7.0,,
E-GIFT CARD,8.0,,
UPBEAT BACKGROUND MUSIC,46.0,6.0,7.666666666666667
RED LED LIGHTING,6.0,,
MICROPHONE,23.0,7.0,3.2857142857142856
"PHRASE ""EMBRACE THE SUCK""",8.0,,
CHRISTMAS,7.0,,
HOLIDAY SHOPPING STRESS,1.0,,
AMERICAN FLAG,7.0,,
SPEAKER,151.0,28.0,5.392857142857143
BACKGROUND NOISE,191.0,39.0,4.897435897435898
SHORT SILENCES,57.0,11.0,5.181818181818182
MEDIUM SILENCES,51.0,1.0,51.0
GRUNT STYLE PRODUCTS,1.0,,
QUIET ENVIRONMENT,17.0,,
FAST-PACED SPEECH,1.0,,
GORGEOUS GOING OUT DRESS,,7.0,
AMAZON,6.0,12.0,0.5
BEDROOM SETTING,,6.0,
TEXT OVERLAY,401.0,124.0,3.2338709677419355
MALE VOICE,63.0,25.0,2.52
TRAP BEAT,1.0,1.0,1.0
PHONE/CAMERA,,7.0,
WALL ART,21.0,5.0,4.2
BEDDING,7.0,5.0,1.4
PARTIALLY OPEN DOOR,,1.0,
OOTD THEME,,7.0,
VIBRANT PINK TOP,,7.0,
EXPRESSIVE GESTURES,8.0,14.0,0.5714285714285714
CHEERFUL DEMEANOR,8.0,1.0,8.0
HEAD MOVEMENTS,52.0,25.0,2.08
HAND GESTURES,129.0,52.0,2.480769230769231
BODY LANGUAGE,82.0,29.0,2.8275862068965516
INDOOR ENVIRONMENT,32.0,12.0,2.6666666666666665
POSITIVE DEMEANOR,19.0,8.0,2.375
FASHION INSPIRATION,,7.0,
SPONSORSHIP INDICATORS,27.0,21.0,1.2857142857142858
EYE CONTACT,60.0,21.0,2.857142857142857
SOCIAL MEDIA HANDLE,26.0,,
AUDIO DESCRIPTION,277.0,44.0,6.295454545454546
WELL PEOPLE,7.0,,
ALO YOGA,8.0,,
GLOSSIER CANVAS TOTE,8.0,,
BACKGROUND HUM,6.0,,
BEEP SOUND EFFECT,5.0,,
JUMPSUIT,8.0,,
CROPPED LONG SLEEVE,8.0,,
ROTHY'S SHOES,7.0,,
WELL PEOPLE MAKEUP,8.0,,
PLANTING TREES EVENT,1.0,,
PINK GARMENT,7.0,,
VISUAL DESCRIPTION,16.0,,
PACKAGED CLOTHING ITEMS,8.0,,
PACKAGING DETAILS,7.0,,
TRAP SONG,7.0,5.0,1.4
FEMALE VOCALIST,17.0,1.0,17.0
BRANDING CONTEXT,7.0,,
AUDIO EFFECTS,31.0,2.0,15.5
SPONSORSHIP STRATEGIES,63.0,32.0,1.96875
GOLDEN RETRIEVER,8.0,,
BATHROOM SETTING,39.0,6.0,6.5
SHAMPOO BOTTLE,7.0,,
TOWEL,6.0,,
BATHROOM ACCESSORIES,1.0,,
EYE MOVEMENT,14.0,6.0,2.3333333333333335
HAND AND FINGER MOVEMENTS,38.0,18.0,2.111111111111111
GESTURES,48.0,,
MOVEMENT,7.0,,
PATTERNS/SIGNALS,6.0,,
DECORATIVE WALLPAPER,5.0,,
TOILET PAPER HOLDER,11.0,,
WOODEN FLOORING,1.0,,
HEAD MOVEMENT,22.0,6.0,3.6666666666666665
WOMAN SPEAKER,18.0,,
DOG,22.0,,
PUP'S WORLD POTTY PADS,8.0,,
BACKGROUND MUSIC,135.0,24.0,5.625
SILENCES AND PAUSES,86.0,5.0,17.2
NON-VERBAL VOCAL SOUNDS,37.0,7.0,5.285714285714286
WALLPAPER,5.0,,
BATHROOM FIXTURES,1.0,,
TOWEL RAIL,6.0,,
HAIR STYLING DEMONSTRATION,8.0,,
DANCE-POP SONG,7.0,,
FACIAL EXPRESSIONS,373.0,93.0,4.010752688172043
DECORATIVE ITEMS,21.0,11.0,1.9090909090909092
SHELVES,7.0,,
POSTER/ART,6.0,,
LAMP,16.0,,
AUDIENCE ENGAGEMENT,27.0,7.0,3.857142857142857
AUDIO ANALYSIS TOOLS,,10.0,
PEAK AND RMS LEVELS,6.0,,
AUDIO FILE,,1.0,
CLOSET SETTING,8.0,6.0,1.3333333333333333
BRANDED BOX,7.0,,
THREDUP,8.0,,
GIVE BACK BOX,8.0,,
CLOTHING ITEMS,8.0,1.0,8.0
NEUTRAL TONES,36.0,,
